LOC	AllDependencies
440	167
2189	1595
22668	9038
1597	513
955	276
1210	958
4640	4222
14414	5785
113	85
623	243
3532	1276
2299	810
354	218
330	277
5082	4592
8013	2130
4155	1086
920	824
4553	3731
95	67
2743	820
411	173
6158	5723
3654	2812
1807	1753
2330	1642
7276	2898
11788	4046
257	160
227	156
1132	257
14426	5746
2559	911
22984	9185
797	769
3527	1296
1211	471
7919	2582
1639	1568
23687	9517
2337	1547
3213	973
3504	2746
6201	5534
1455	1212
3583	863
817	234
391	273
680	536
921	267
15884	6351
9877	3443
855	598
3680	2584
537	436
3400	860
2906	870
1931	1932
227	127
1307	325
1629	1333
717	718
3549	883
1576	1325
655	245
1084	982
1327	297
4498	3641
1780	1716
4525	1219
8341	3248
1485	1229
8146	3189
15906	6347
2374	690
10864	3520
1063	831
5865	5395
2428	876
6100	5402
6064	5370
4679	3493
4815	3862
3384	1135
6149	5476
16239	6460
14773	5910
1210	298
25634	10006
2217	1561
4985	1337
964	385
1579	1331
438	335
4648	3478
937	1122
13525	4213
9771	3328
1342	1135
841	327
3499	2737
1218	455
350	302
14675	5845
7481	3052
3664	2935
1714	1448
3328	997
3231	971
1266	445
13515	4209
474	405
5767	5298
960	276
3679	2582
987	930
11793	4050
3540	1276
1966	1427
1039	658
1442	657
3765	1143
5659	4653
3862	1445
992	409
4410	1219
1324	1085
1783	1763
2434	1626
1782	1749
183	89
86	28
5634	5173
2852	2111
1587	1281
2810	831
4954	3824
4397	1152
1140	257
11713	4167
9755	3309
2413	1884
1680	1436
1271	472
8	2
5122	4015
4140	1085
3562	898
146	46
2892	1143
7670	1977
7961	2600
6804	1775
145	140
815	234
3974	1498
1604	515
211	50
436	326
4753	3565
1474	422
1059	947
3534	883
715	414
3724	2623
5285	4160
7284	2369
2885	838
273	117
486	204
330	275
1525	1055
436	329
864	615
11467	3781
1051	1268
804	663
3444	867
3010	2311
3294	1029
4033	3057
6405	1663
1721	1470
2256	800
956	221
3713	2615
3573	2543
2198	778
1158	689
485	95
81	54
3644	1359
946	385
3456	1059
1041	659
7903	2580
211	157
16702	6659
865	796
4199	3335
3453	828
354	222
1447	651
72	64
3978	1479
3981	1479
731	287
8423	2301
1602	370
7669	1975
2874	868
443	335
11826	4037
326	71
7960	2598
1073	659
1076	659
4032	3056
8161	2657
91	29
1615	370
4262	3381
4001	3136
2375	1776
2831	2080
1267	445
918	265
5117	4009
10024	4055
1663	1241
24631	9721
15225	4682
3007	866
10385	3784
1040	658
4870	1282
3976	3156
3286	1265
28054	10073
139	92
3021	2397
8260	3217
15884	6352
1718	1444
4308	3423
3360	850
144	43
3562	881
941	345
3200	1183
3503	2743
627	155
1035	238
4531	1245
296	66
3517	1296
1365	519
507	132
1353	1106
1665	1170
2336	1547
2840	1135
10301	3184
131	49
773	936
926	830
4845	1298
355	311
848	598
1701	1240
683	543
9999	4039
4786	3831
1757	1251
708	197
2922	842
472	141
354	237
26766	10370
2434	880
514	110
12665	4278
1219	970
189	112
907	336
3450	1388
4741	4043
3634	1202
263	106
1238	1033
15650	4847
3377	1135
388	223
676	472
1856	1437
10531	3347
325	208
10686	4349
4982	3840
3132	1166
10749	3857
28530	10298
8024	2131
1829	517
474	140
3076	2273
2854	847
355	222
991	235
3326	847
2568	2003
788	557
691	192
2922	1082
4859	3890
1603	370
8060	2610
93	71
803	952
2445	1910
4092	3263
1321	1124
6705	6291
22644	9055
1487	651
192	156
4525	1235
26809	10383
329	158
1047	410
3546	1276
237	83
315	84
3532	863
285	73
722	520
29720	10727
628	155
728	520
1850	474
3229	2246
3232	2246
3378	857
1315	326
345	224
919	369
1874	1362
790	657
3535	2488
5476	5027
4958	3974
82	31
3982	1481
363	77
8105	2616
814	234
3206	2217
1825	1567
1699	1240
11078	3975
5265	4160
8012	2597
523	254
793	251
4656	3483
1001	247
5106	4028
706	197
1708	1439
927	833
26649	10288
5665	5036
2943	1143
1166	1221
3384	856
5043	4324
768	806
691	749
3381	1132
3028	1186
522	145
13475	4388
370	223
3204	1185
1614	1542
1308	1069
2841	1134
2738	2160
6235	5785
4194	3220
8117	3188
4573	1240
2955	901
7725	1990
1724	1473
3409	1362
10418	3177
439	335
3433	866
739	647
6086	5394
2213	1959
16003	6372
7645	1971
4590	4155
3893	1481
5971	5518
2329	1639
2519	1890
3733	1377
7185	2911
7460	3027
1542	1211
8015	2130
1361	516
3931	3061
267	108
1837	1806
14307	5741
503	433
7652	3061
3260	2418
7912	2586
3272	1020
2819	1055
1500	1423
3680	1372
5529	5091
2589	2016
474	135
14304	5744
2727	2060
472	142
4568	4136
4548	1224
7757	3076
150	46
3275	1264
56	20
492	425
12681	4307
3335	1041
1697	1240
883	256
3347	1132
3390	804
212	50
7306	2387
1291	1010
784	450
27361	9890
6993	1802
801	251
3099	2278
2433	702
2403	698
3649	1360
9823	3372
4484	3641
3831	2946
4755	4054
355	223
2191	761
14378	5772
1191	718
1329	297
4911	3787
48	12
691	193
13066	4256
841	335
1589	1339
475	417
7961	2599
6466	6002
2944	842
1611	518
3733	3014
441	168
13915	4314
1326	1146
1068	831
3602	2907
282	141
354	212
3269	1308
263	214
1223	924
760	917
7225	2902
3549	2525
2176	1896
7284	2368
701	570
12329	4073
2573	773
25218	9853
13226	4464
1921	1920
3487	1276
5296	4173
15210	4686
480	140
7914	2587
1704	1623
131	103
