WMC	AllDependencies
754	3052
368	5402
803	3189
1578	4847
71	1542
36	769
448	1296
109	445
351	868
118	410
446	1481
9	223
857	2368
23	335
33	66
297	2737
100	455
912	3309
1194	4278
96	689
368	5370
303	5173
114	336
374	5534
921	2599
81	1716
274	880
124	238
94	1010
272	761
3227	10383
107	234
427	847
297	2743
283	2935
93	1069
17	208
10	103
1366	4213
1101	4167
354	870
108	1055
299	911
105	1331
246	2525
37	117
297	2746
155	325
95	1932
368	3890
379	3974
1741	6347
46	173
262	2623
8	85
184	1776
403	3478
414	1360
9	29
358	6291
326	5518
699	2902
1117	3520
115	1439
417	3824
177	657
3109	10006
257	3014
36	106
405	863
55	952
509	1235
49	141
51	536
341	1082
86	1106
115	1470
430	856
205	517
413	1359
73	155
174	1240
44	95
261	2615
8	28
426	1020
459	1059
510	1245
91	924
280	3220
69	658
291	5027
912	2586
413	1362
434	866
1080	3347
194	1890
206	2016
251	2111
17	157
61	1423
175	1561
54	168
2983	9517
820	3217
311	773
1623	5910
749	3027
78	958
385	973
835	1990
122	235
40	433
152	515
10	20
412	1183
141	298
223	474
324	4324
829	3248
222	1547
29	83
73	947
9	212
115	1444
3067	9853
246	2907
85	192
39	796
260	2582
121	1339
178	1595
143	1437
304	4054
435	4028
243	2543
178	651
1736	6351
27	806
138	409
1748	6372
544	1240
375	804
331	1055
275	778
151	472
3422	10298
92	1212
428	850
9	218
429	857
826	1971
28	718
751	1802
7	64
8	71
1612	5845
12	417
358	901
8	277
73	243
139	251
446	1479
2904	9185
37	141
119	345
432	860
78	970
192	1884
1396	4314
914	3328
82	1753
99	1124
53	204
50	917
446	1276
298	3731
151	513
269	3056
381	838
574	1152
18	46
412	4173
432	4009
390	866
67	557
135	1362
9	224
4	140
857	2369
79	1763
259	2311
212	2160
829	1977
3030	9721
436	1041
109	1333
231	4222
921	2600
474	1202
439	1481
74	598
68	472
1109	4046
1037	3975
318	3335
119	221
1284	4073
404	3483
26	237
141	1567
284	3156
133	1448
31	223
1578	5741
75	615
866	2130
155	326
366	5394
1012	3177
1016	3184
435	1445
61	132
1774	6460
399	1308
1077	4055
40	425
100	1146
49	142
130	276
8	54
332	2946
105	1436
58	135
106	265
126	1251
79	1806
331	5036
320	698
100	471
924	2301
228	4136
28	302
336	3061
995	3784
92	254
1144	4349
174	1241
294	5091
227	1626
58	414
22	749
62	145
912	2587
82	1033
1591	5785
35	71
404	863
51	543
1018	3857
1581	5746
316	690
90	1085
97	718
28	273
89	197
251	2080
436	1132
112	1211
16	49
437	1041
108	1473
140	257
355	1134
1323	4256
1074	4039
95	1920
38	77
54	647
1530	4682
28	311
85	193
576	1298
52	930
338	5723
347	847
101	256
159	519
692	1663
74	245
705	2911
28	73
1736	6352
451	1086
914	2582
158	1896
366	1186
339	3136
58	657
229	4155
20	160
110	385
735	1775
8	275
214	2246
142	1427
256	2278
348	6002
195	1910
1	2
52	936
43	436
54	520
1576	5744
1364	4388
9	222
450	1085
3202	10288
358	1143
3570	10727
322	702
829	1975
363	3831
64	824
209	2060
58	663
269	3057
19	89
296	3641
312	5298
411	4160
2860	9038
429	4653
921	2598
127	335
73	1568
341	831
19	127
70	659
116	1170
3367	10073
308	3263
435	867
64	830
868	2387
445	1276
699	2898
318	5395
59	1221
38	158
64	833
371	5476
924	2597
457	898
306	3381
310	3423
594	1337
107	267
471	1377
956	3443
1109	4050
34	84
51	570
49	140
217	2397
3222	10370
544	1224
9	31
441	1135
26	108
421	3840
432	4015
159	1959
242	2488
62	1122
38	405
92	287
24	223
928	2610
771	3076
281	800
449	883
933	3372
446	1498
413	3787
74	982
1269	4464
271	2418
801	3188
1187	3781
17	156
338	5785
407	3493
120	1325
54	167
269	4592
430	1029
153	518
466	1372
285	810
526	1282
401	997
65	450
69	1268
759	3061
1587	5772
272	876
539	1219
6	12
931	2616
82	831
303	4043
212	2217
368	1265
364	3862
101	1135
409	881
1364	4209
45	110
422	1388
164	297
13	50
382	842
412	1185
14	92
384	828
19	43
3292	9890
94	1229
253	2273
355	1135
911	2580
2866	9055
331	820
204	2003
34	71
23	326
1110	4037
260	2584
123	247
8	67
410	3565
19	214
388	971
185	1639
318	2812
1844	6659
351	1166
947	2657
162	422
367	1264
1194	4307
23	329
196	370
1527	4686
131	369
127	327
82	1749
79	1623
15	112
118	1281
185	1642
158	516
482	1143
867	2131
