CC	AllDependencies
3	18
2	7
4	43
7	9
4	20
1	17
9	22
6	19
5	8
10	10
11	35
2	19
8	32
1	52
3	7
1	29
5	20
4	9
1	6
6	22
3	19
2	8
8	21
1	41
4	21
1	18
5	9
10	11
3	31
2	20
1	53
3	8
4	33
1	30
4	10
1	7
9	12
6	9
2	32
6	23
3	20
2	9
28	9
8	22
1	42
4	22
10	35
1	19
29	11
9	24
5	10
10	12
2	21
1	54
3	9
8	11
7	0
1	31
4	11
9	13
1	8
6	10
2	33
10	1
3	21
2	10
28	10
7	12
1	43
5	34
4	23
1	20
29	12
9	25
5	11
2	22
1	55
3	10
8	12
7	1
1	32
5	23
4	12
9	14
1	9
6	11
5	0
2	34
10	2
3	22
2	11
7	13
1	44
5	35
4	24
1	21
5	12
2	23
6	0
1	56
3	11
2	0
7	2
5	24
4	13
1	10
5	1
10	3
3	23
2	12
28	12
3	0
5	36
8	2
4	25
1	22
5	13
22	11
2	24
6	1
1	57
3	12
2	1
1	34
5	25
4	14
1	11
5	2
3	24
2	13
7	15
3	1
5	37
8	3
1	23
1	0
22	12
2	25
15	32
1	58
3	13
2	2
8	15
1	35
4	1
5	26
4	15
1	12
6	14
5	3
3	25
2	14
7	16
3	2
4	27
8	4
1	24
5	15
13	20
4	4
1	1
2	26
15	33
3	14
2	3
8	16
7	5
1	36
12	7
4	2
9	18
1	13
6	15
5	4
18	11
3	26
2	15
8	28
8	42
3	3
4	28
1	25
5	16
4	5
13	21
9	7
1	2
6	4
15	34
3	15
2	4
7	6
1	37
4	3
12	8
1	14
9	19
6	16
5	5
2	39
18	12
3	27
2	16
8	29
1	49
3	4
8	6
16	11
1	26
5	17
4	6
1	3
9	8
6	5
15	35
3	16
2	5
4	18
1	15
9	20
6	17
5	6
2	40
10	8
2	17
48	4
7	19
8	30
3	5
8	7
16	12
1	27
5	18
4	7
9	9
1	4
2	29
15	36
6	20
3	17
2	6
7	8
4	19
9	21
1	16
6	18
5	7
10	9
2	18
8	31
1	51
3	6
8	8
1	28
14	35
5	19
4	8
1	5
9	10
6	21
