LOC	AllDependencies
12	19
71	29
24	14
12	0
115	2
27	18
15	4
30	22
46	11
11	10
14	14
30	3
57	35
45	21
17	18
73	5
29	13
16	28
32	17
76	9
13	5
16	9
3	24
19	13
15	19
3	5
18	23
34	12
78	4
6	9
50	1
18	4
52	34
33	22
21	8
36	26
52	15
5	0
20	18
36	7
8	4
23	22
4	10
35	17
51	6
23	3
38	21
10	18
26	7
41	25
22	13
53	20
25	17
72	13
28	21
9	9
24	27
40	16
12	13
43	20
24	8
27	12
11	4
26	22
42	11
14	8
45	15
44	44
17	12
60	33
13	18
29	7
3	56
60	14
16	22
32	11
19	26
16	3
19	7
34	25
50	14
15	13
18	17
33	35
6	3
21	21
2	9
52	28
33	16
5	13
21	2
36	20
39	24
20	12
36	1
70	31
4	4
54	23
7	8
38	15
10	12
26	1
22	7
9	22
25	11
9	3
24	21
84	2
12	7
43	14
74	21
55	9
42	24
30	10
45	28
26	16
17	25
73	12
29	20
17	6
48	13
13	12
16	16
75	26
32	5
4	2
44	0
31	15
3	12
19	1
34	19
46	14
96	33
18	11
34	0
4	55
21	15
2	3
33	10
5	7
36	14
8	11
20	6
35	24
51	13
7	21
23	10
10	25
26	14
7	2
22	20
38	9
82	1
10	6
41	13
22	1
88	9
9	16
25	5
12	20
71	30
28	9
24	15
12	1
115	3
15	5
90	4
11	11
27	0
17	19
13	25
29	14
17	0
32	18
13	6
16	10
19	14
15	20
3	6
18	24
6	10
18	5
21	9
36	27
52	16
5	1
20	19
36	8
8	5
4	11
20	0
35	18
51	7
23	4
38	22
10	19
26	8
70	0
6	25
22	14
53	21
10	0
25	18
9	29
28	22
9	10
24	28
40	17
12	14
28	3
43	21
27	13
11	5
26	23
14	9
45	16
3	57
29	8
32	12
48	1
13	0
19	27
44	7
16	4
19	8
15	14
3	0
18	18
34	7
6	4
65	14
21	22
2	10
33	17
5	14
21	3
36	21
39	25
4	24
20	13
70	32
4	5
54	24
7	9
38	16
10	13
26	2
9	23
25	12
41	1
28	16
9	4
24	22
40	11
84	3
12	8
43	15
24	3
74	22
11	18
14	22
30	11
26	17
14	3
29	21
17	7
48	14
13	13
3	51
44	20
16	17
32	6
4	3
3	32
31	16
47	5
3	13
19	2
50	9
6	17
21	35
46	15
96	34
18	12
49	19
21	16
4	56
2	4
33	11
5	8
36	15
8	12
4	18
20	7
35	25
7	22
23	11
39	0
7	3
22	21
38	10
10	7
41	14
72	21
40	24
56	13
24	16
12	2
71	12
15	6
11	12
14	16
17	20
13	26
29	15
17	1
13	7
16	11
32	0
19	15
34	33
15	21
31	10
3	7
18	25
33	43
6	11
37	18
18	6
17	35
21	10
36	28
52	17
8	25
5	2
36	9
8	6
67	16
39	13
4	12
51	8
23	5
38	23
22	15
53	22
10	1
25	19
28	23
53	3
9	11
25	0
24	29
40	18
12	15
24	10
27	14
15	0
11	6
14	10
3	58
29	9
16	24
32	13
13	1
19	28
44	8
16	5
15	34
19	9
15	15
3	1
18	19
6	5
37	12
2	11
18	0
36	41
49	7
21	4
36	22
39	26
20	14
36	3
8	0
23	18
4	6
7	10
38	17
10	14
26	3
6	20
22	9
9	24
25	13
24	42
9	5
84	4
40	12
24	23
24	4
55	11
11	19
11	0
26	18
14	4
29	22
17	8
48	15
13	14
3	52
29	3
44	21
1	0
16	18
31	36
3	33
31	17
47	6
3	14
19	3
78	13
6	18
46	16
96	35
18	13
21	17
4	57
2	5
33	12
5	9
36	16
8	13
4	19
20	8
35	26
23	12
7	4
22	22
38	11
10	8
41	15
72	22
9	18
40	25
56	14
12	22
28	11
24	17
12	3
15	7
11	13
14	17
42	1
29	16
13	8
44	15
16	12
91	11
19	16
31	11
3	8
18	26
34	15
50	4
6	12
37	19
18	7
17	36
33	25
49	14
21	11
37	0
4	51
5	3
36	10
8	7
39	14
4	13
20	2
51	9
38	24
26	10
22	16
38	5
72	35
10	2
53	23
25	20
9	31
24	49
53	4
25	1
24	11
27	15
15	1
46	8
11	7
42	14
14	11
30	0
17	15
32	33
48	22
29	10
88	20
16	25
32	14
13	2
16	6
31	24
47	13
19	10
15	16
3	2
18	20
78	1
6	6
37	13
2	12
18	1
49	8
21	5
20	15
36	4
8	1
23	19
4	7
7	11
23	0
10	15
6	21
22	10
53	17
25	14
72	10
28	18
9	6
24	24
40	13
74	43
12	10
55	12
11	20
30	13
29	42
11	1
26	19
14	5
73	15
29	23
17	9
48	16
13	15
29	4
3	53
44	22
16	19
3	34
16	0
31	18
47	7
46	36
19	4
78	14
18	33
15	10
46	17
96	36
18	14
6	0
4	58
21	18
2	6
52	25
5	10
8	14
20	9
70	28
23	13
35	8
7	5
22	23
38	12
72	42
10	9
37	22
9	19
25	8
40	26
9	0
24	18
40	7
12	4
15	8
11	14
14	18
30	7
29	17
17	3
13	9
44	16
16	13
91	12
19	17
31	12
3	9
18	27
34	16
6	13
81	12
37	20
2	19
18	8
17	37
33	26
49	15
4	52
21	12
2	0
37	1
5	4
8	8
39	15
20	3
51	10
38	25
26	11
25	40
22	17
38	6
10	3
25	21
9	13
25	2
24	12
27	16
15	2
11	8
42	15
14	12
30	1
89	11
45	19
17	16
48	23
88	21
28	40
76	7
13	3
16	7
31	25
19	11
35	0
15	17
31	6
3	3
78	2
18	21
6	7
37	14
18	2
33	20
49	9
21	6
20	16
36	5
8	2
23	20
4	8
7	12
23	1
10	16
26	5
22	11
53	18
28	19
9	7
24	25
40	14
12	11
87	10
24	6
26	39
73	35
11	2
26	20
14	6
29	24
17	10
48	17
13	16
29	5
3	54
44	23
60	12
16	20
32	9
16	1
31	19
47	8
19	5
34	23
15	11
31	0
46	18
18	15
6	1
21	19
2	7
52	26
5	11
21	0
36	18
8	15
4	21
20	10
70	29
23	14
82	24
54	21
35	9
7	6
22	24
38	13
10	10
56	35
25	9
40	27
12	24
9	1
40	8
12	5
24	0
15	9
11	15
27	4
42	22
14	19
29	37
45	26
61	15
14	0
29	18
17	4
13	10
44	17
16	14
32	3
4	0
19	18
31	13
3	10
18	28
34	17
50	6
21	32
46	12
2	20
18	9
62	1
37	21
33	27
5	24
21	13
4	53
2	1
52	20
5	5
52	1
8	9
39	16
20	4
51	11
7	19
23	8
70	4
26	12
7	0
22	18
10	4
25	22
41	11
9	14
43	44
12	18
71	28
28	7
24	13
115	1
11	28
27	17
15	3
30	21
11	9
42	16
14	13
57	34
29	31
45	20
17	17
16	27
76	8
13	4
16	8
19	12
15	18
31	7
3	4
18	22
78	3
6	8
18	3
33	21
21	7
20	17
36	6
8	3
23	21
4	9
23	2
38	20
10	17
26	6
41	24
22	12
53	19
28	20
88	1
9	8
24	26
40	15
12	12
24	7
14	26
11	3
26	21
14	7
45	14
17	11
13	17
3	55
29	6
44	24
16	21
32	10
34	43
16	2
31	20
19	6
34	24
50	13
15	12
31	1
18	16
6	2
21	20
2	8
52	27
33	15
5	12
36	19
20	11
70	30
23	15
54	22
7	7
22	25
38	14
10	11
26	0
72	25
25	10
12	25
28	14
9	2
12	6
55	8
11	16
27	5
42	23
14	20
45	27
61	16
14	1
17	5
92	4
48	12
13	11
29	0
16	15
75	25
4	1
19	19
31	14
3	11
19	0
34	18
50	7
6	15
49	36
21	33
46	13
96	32
18	10
2	21
49	17
5	25
21	14
2	2
33	9
5	6
8	10
39	17
20	5
35	23
51	12
23	9
26	13
7	1
22	19
10	5
25	23
41	12
22	0
