CC	AllDependencies
1	101
2	80
1	38
1	66
5	45
1	3
3	24
2	10
4	31
3	195
1	104
2	83
1	41
5	83
1	69
2	48
1	6
5	48
3	62
4	34
2	13
6	55
1	107
2	86
3	65
1	44
1	72
2	51
3	30
1	9
4	37
2	16
1	243
1	110
5	89
3	68
1	47
2	54
3	33
1	12
1	75
2	19
9	61
10	103
4	40
15	428
5	288
1	148
2	127
8	218
1	113
5	155
1	50
3	71
1	78
2	57
1	15
2	22
1	116
1	53
1	81
1	18
3	39
7	109
4	46
2	25
9	67
29	277
28	263
5	294
1	154
8	196
8	224
1	119
6	140
1	56
4	119
5	126
1	84
3	42
1	21
2	63
2	28
3	7
48	371
1	59
3	45
9	108
1	24
2	31
3	10
9	73
6	73
4	17
4	52
1	90
2	69
3	48
1	27
2	34
3	13
4	20
10	83
4	226
1	93
1	30
3	51
6	79
2	37
3	16
4	23
2	2
28	275
1	229
1	131
2	110
3	117
1	96
1	33
2	75
1	61
6	82
3	19
2	40
4	26
2	5
22	180
1	204
1	169
2	113
3	120
1	36
1	64
2	43
3	22
1	1
2	8
12	113
4	29
2	116
1	102
4	102
3	60
1	39
1	67
2	46
5	46
1	4
2	11
1	140
1	42
5	84
1	70
7	133
1	7
2	49
3	28
2	14
9	91
1	713
1	213
2	150
3	129
1	108
1	45
5	150
1	73
2	52
3	31
1	10
4	38
2	17
1	244
8	216
1	111
2	153
1	48
1	76
2	55
3	34
1	13
2	20
6	62
7	6
1	184
8	191
1	114
7	177
5	156
3	72
3	135
2	58
5	58
3	37
1	16
4	44
5	23
2	23
6	65
8	51
1	51
3	2
1	285
1	117
2	96
1	54
5	159
1	82
1	19
3	40
2	26
7	47
5	26
4	47
3	176
8	162
1	57
3	106
1	85
3	43
1	22
5	64
4	50
3	8
5	29
2	29
10	78
2	64
1	193
1	123
4	123
1	60
14	228
1	88
3	46
1	25
7	88
2	32
5	32
3	11
1	224
3	182
2	105
1	91
1	28
2	35
3	14
4	21
1	227
1	129
1	94
2	73
1	31
3	52
6	80
4	59
2	38
3	17
4	24
2	3
1	737
2	174
3	55
1	34
1	62
4	62
3	20
9	83
5	76
4	27
10	90
2	6
2	41
2	177
1	135
3	58
1	37
1	65
2	44
5	44
1	2
4	65
2	9
4	30
3	23
4	236
1	103
1	40
1	68
2	47
3	26
3	89
1	5
2	12
1	106
2	85
1	43
5	85
1	71
2	50
1	8
5	50
3	29
6	57
2	15
7	207
1	109
2	88
3	67
1	46
4	109
1	74
3	32
1	11
5	53
4	39
7	39
2	18
2	53
1	245
5	154
5	91
1	49
1	77
2	56
5	56
6	98
1	14
10	105
2	21
4	42
4	77
11	182
1	115
7	178
1	52
3	73
1	80
16	241
1	17
10	178
14	220
2	24
2	59
1	153
2	160
1	118
3	76
1	55
1	83
18	230
1	20
5	62
2	62
2	27
3	6
3	41
4	48
4	13
28	265
3	177
2	135
1	156
2	163
2	100
1	58
2	65
6	107
1	23
5	65
2	30
3	9
5	30
16	212
1	124
2	103
1	89
3	47
1	26
2	33
3	12
1	225
1	127
3	113
1	92
1	29
2	36
5	36
3	15
4	22
2	1
1	165
1	95
3	53
1	32
4	60
3	18
5	39
2	39
4	25
2	4
8	67
1	231
1	168
2	175
1	133
3	56
1	35
1	63
2	42
3	21
9	84
1	0
2	7
8	70
1	339
13	430
