LOC	AllDependencies
12	38
29	108
9	15
75	243
90	371
73	191
12	19
44	107
12	0
11	29
13	62
11	10
31	84
13	43
60	39
16	47
31	65
13	24
34	69
35	131
32	108
21	46
20	75
53	244
18	23
17	52
3	5
6	9
20	56
36	45
17	33
51	63
65	110
20	37
19	66
8	23
38	59
37	88
25	74
8	4
22	51
4	10
10	37
7	14
10	18
24	65
56	153
24	46
23	75
39	64
12	32
88	2
9	9
29	83
11	42
14	46
30	35
11	23
14	27
13	56
28	74
16	60
13	37
29	26
48	129
31	59
13	18
16	22
19	26
15	32
3	18
36	77
34	116
50	105
6	3
2	9
5	13
39	153
8	17
7	27
74	226
22	45
4	4
25	49
7	8
91	277
55	195
10	12
37	25
9	22
12	26
29	96
11	55
26	73
29	77
11	36
31	110
11	17
16	73
14	21
31	91
17	25
16	54
14	2
16	35
19	39
18	68
15	45
4	2
44	0
32	96
15	26
21	53
20	82
3	12
17	59
6	16
20	63
34	0
20	44
2	3
5	7
19	54
4	17
25	62
24	91
92	371
27	95
53	156
7	2
71	178
10	6
24	53
27	57
9	16
12	20
26	67
11	30
31	104
14	34
27	0
31	85
13	25
17	0
18	62
15	39
30	57
18	43
15	20
21	47
3	6
17	53
50	2
6	10
20	57
40	241
20	38
34	85
22	71
5	1
71	229
19	48
8	5
25	75
4	11
20	0
10	38
7	15
21	62
70	0
10	19
6	25
10	0
24	47
41	117
23	76
29	103
12	33
29	84
12	14
76	80
14	47
31	98
28	75
14	9
13	38
28	56
16	42
13	19
15	52
13	0
19	27
31	22
46	40
3	19
18	37
20	89
32	84
3	0
17	28
5	14
73	294
37	102
19	61
8	18
22	65
82	46
10	51
4	5
10	32
25	50
26	2
56	148
9	23
26	93
72	228
12	8
11	37
26	55
11	18
28	88
14	22
28	69
32	44
14	3
13	32
4	3
20	102
2	61
18	50
15	27
3	13
17	60
50	9
6	17
2	23
17	41
38	86
19	74
2	4
8	31
34	92
5	8
38	67
37	96
8	12
23	30
22	59
21	88
20	7
39	0
10	26
7	3
82	2
26	106
9	36
12	40
9	17
12	21
26	68
11	31
43	119
74	236
11	12
14	16
16	49
31	67
33	100
15	40
35	114
51	103
18	44
21	48
3	7
47	109
18	25
2	36
6	11
20	58
17	35
84	124
23	62
20	39
19	68
8	25
5	2
38	61
54	160
22	72
8	6
4	12
7	16
21	63
10	20
22	15
12	53
9	30
12	34
9	11
25	0
12	15
45	184
72	216
26	62
14	48
11	25
78	224
45	165
16	81
15	0
14	29
13	58
46	117
14	10
45	127
33	113
13	20
96	428
18	76
44	27
48	2
46	60
2	49
32	85
21	42
3	1
2	30
6	5
20	52
18	0
17	29
48	36
5	15
70	162
19	62
23	37
8	0
4	6
54	245
25	51
7	10
38	127
10	14
44	154
44	135
9	24
24	42
12	28
44	116
11	38
11	19
2	229
11	0
33	126
16	56
13	33
47	63
28	51
17	8
16	37
28	32
18	70
19	41
1	0
15	47
81	275
2	43
32	79
6	18
38	106
20	65
2	5
40	120
5	9
115	339
19	56
8	13
25	64
7	23
10	8
26	107
24	55
12	41
9	18
26	88
40	135
12	22
26	69
42	168
29	73
11	32
26	50
29	54
11	13
13	46
17	21
31	68
13	27
49	90
18	64
31	30
3	27
34	34
17	74
47	110
3	8
6	12
21	30
37	129
19	88
20	59
2	737
20	40
37	0
88	430
8	26
5	3
38	62
71	231
8	7
4	13
25	58
7	17
27	91
10	21
41	28
56	156
10	2
27	53
9	12
12	16
14	49
11	26
10	55
26	44
14	30
11	7
30	0
13	40
28	58
16	44
13	21
18	58
18	39
21	43
3	2
52	160
34	119
6	6
2	12
23	57
36	133
8	20
57	178
22	67
71	225
36	114
57	159
4	7
10	34
7	11
23	0
6	21
73	220
26	95
9	6
26	76
60	106
26	57
14	43
30	32
11	20
26	38
41	56
32	46
28	52
16	38
32	27
31	56
18	71
15	48
16	0
15	29
49	169
21	56
49	150
6	19
32	80
18	14
34	113
6	0
2	6
35	175
36	36
8	33
5	10
8	14
22	61
4	20
42	135
25	65
7	24
26	127
25	46
7	5
10	9
72	243
26	89
9	19
9	0
42	59
12	4
31	107
14	37
29	55
33	140
16	70
28	65
16	51
49	110
31	69
13	28
42	2
18	84
78	285
16	32
16	13
32	2
33	83
19	17
51	105
3	9
18	27
17	56
6	13
21	31
20	60
2	19
17	37
20	41
2	0
36	140
8	27
23	45
5	4
19	51
8	8
22	55
72	294
25	59
7	18
21	65
55	95
53	153
10	22
24	69
9	32
25	21
12	36
26	83
12	17
72	218
11	27
43	115
14	31
29	49
14	12
13	41
29	30
60	37
16	45
43	77
33	115
13	22
16	26
17	88
31	25
35	0
15	17
21	44
20	73
3	3
6	7
39	176
18	2
50	90
23	58
5	17
2	713
53	204
8	21
22	68
4	27
36	115
19	45
25	72
8	2
4	8
72	178
25	53
7	12
21	59
38	129
44	156
10	16
6	22
55	180
61	207
9	26
24	44
44	118
12	11
26	58
31	114
11	21
14	25
48	165
29	43
11	2
16	58
17	10
16	39
15	68
15	49
18	53
52	193
15	30
2	26
52	155
23	71
20	48
2	7
8	34
5	11
21	0
8	15
40	103
36	109
7	25
10	29
24	76
40	65
7	6
38	123
10	10
9	20
26	90
73	196
12	24
24	0
11	15
27	114
28	85
13	48
48	140
13	29
14	0
30	80
19	37
67	224
15	43
4	0
18	47
34	36
33	65
32	94
15	24
3	10
20	80
6	14
38	212
20	61
2	20
22	94
21	123
20	42
2	1
8	28
40	116
5	5
38	174
54	163
53	82
8	9
22	56
